perfume_id,brand,perfume_name,full_name,perfume_type,family,top_notes,middle_notes,base_notes,occasions,moods,professional_description,customer_query_example,all_notes
1,Byredo,Secret Intense,Byredo Secret Intense,Eau de Parfum,Chypre,"Bergamot, Blackcurrant","Jasmine, Peony, Iris","Cashmere Wood, Patchouli","daily wear, evening","energetic, confident","Byredo Secret Intense is a captivating Chypre fragrance. It opens with vibrant notes of Bergamot and Blackcurrant. The heart reveals Jasmine, Peony and Iris. Base notes of Cashmere Wood, Patchouli provide a lasting and memorable impression.",What has Cashmere Wood and works for daily wear?,"Bergamot, Blackcurrant, Jasmine, Peony, Iris, Cashmere Wood, Patchouli"
2,Hugo Boss,Mystère Elixir,Hugo Boss Mystère Elixir,Pour Homme,Chypre,"Cardamom, Jasmine","Nutmeg, Ylang-ylang, Magnolia","Oakmoss, Vanilla, Tobacco","office, evening","dreamy, romantic","Hugo Boss Mystère Elixir is a captivating Chypre fragrance. It opens with vibrant notes of Cardamom and Jasmine. The heart reveals Nutmeg, Ylang-ylang and Magnolia. Base notes of Oakmoss, Vanilla, Tobacco provide a lasting and memorable impression.",Searching for a dreamy scent with Cardamom,"Cardamom, Jasmine, Nutmeg, Ylang-ylang, Magnolia, Oakmoss, Vanilla, Tobacco"
3,Yves Saint Laurent,Vanilla Absolute,Yves Saint Laurent Vanilla Absolute,Parfum,Aquatic,"Cardamom, Neroli","Freesia, Geranium","Cocoa, Tobacco, Cedar","formal event, party",romantic,"Yves Saint Laurent Vanilla Absolute is a captivating Aquatic fragrance. It opens with vibrant notes of Cardamom and Neroli. The heart reveals Freesia and Geranium. Base notes of Cocoa, Tobacco, Cedar provide a lasting and memorable impression.",What has Cocoa and works for formal event?,"Cardamom, Neroli, Freesia, Geranium, Cocoa, Tobacco, Cedar"
4,Armani,Bleu Jasmine,Armani Bleu Jasmine,Eau de Toilette,Woody,"Mint, Petitgrain","Lavender, Geranium, Freesia","Benzoin, Musk",spring,"sophisticated, relaxed","Armani Bleu Jasmine is a captivating Woody fragrance. It opens with vibrant notes of Mint and Petitgrain. The heart reveals Lavender, Geranium and Freesia. Base notes of Benzoin, Musk provide a lasting and memorable impression.",What has Benzoin and works for spring?,"Mint, Petitgrain, Lavender, Geranium, Freesia, Benzoin, Musk"
5,Viktor & Rolf,Royal Oud,Viktor & Rolf Royal Oud,Eau de Parfum,Gourmand,"Mandarin, Cardamom","Lily, Peony, Jasmine","White Musk, Labdanum","night out, romantic dinner","warm, luxurious","Viktor & Rolf Royal Oud is a captivating Gourmand fragrance. It opens with vibrant notes of Mandarin and Cardamom. The heart reveals Lily, Peony and Jasmine. Base notes of White Musk, Labdanum provide a lasting and memorable impression.","I love Lily and Mandarin, what should I get?","Mandarin, Cardamom, Lily, Peony, Jasmine, White Musk, Labdanum"
6,Thierry Mugler,Sapphire Sensation,Thierry Mugler Sapphire Sensation,Elixir,Chypre,"Lavender, Mint, Pear","Cinnamon, Nutmeg, Clove","Oud, Patchouli",casual,"sensual, luxurious","Thierry Mugler Sapphire Sensation is a captivating Chypre fragrance. It opens with vibrant notes of Lavender, Mint and Pear. The heart reveals Cinnamon, Nutmeg and Clove. Base notes of Oud, Patchouli provide a lasting and memorable impression.","Something perfect for casual, makes me feel sensual","Lavender, Mint, Pear, Cinnamon, Nutmeg, Clove, Oud, Patchouli"
7,Maison Francis Kurkdjian,Midnight Orchid,Maison Francis Kurkdjian Midnight Orchid,Pour Homme,Woody,"Neroli, Lemon","Cardamom, Orange Blossom","Sandalwood, Cocoa, Cashmere Wood",daily wear,sensual,"Maison Francis Kurkdjian Midnight Orchid is a captivating Woody fragrance. It opens with vibrant notes of Neroli and Lemon. The heart reveals Cardamom and Orange Blossom. Base notes of Sandalwood, Cocoa, Cashmere Wood provide a lasting and memorable impression.","I love Cardamom and Neroli, what should I get?","Neroli, Lemon, Cardamom, Orange Blossom, Sandalwood, Cocoa, Cashmere Wood"
8,Dolce & Gabbana,Black,Dolce & Gabbana Black,Extreme,Aromatic,"Lime, Mint, Petitgrain","Honeysuckle, Gardenia, Orchid","Vetiver, Tobacco, Amber","date night, winter",elegant,"Dolce & Gabbana Black is a captivating Aromatic fragrance. It opens with vibrant notes of Lime, Mint and Petitgrain. The heart reveals Honeysuckle, Gardenia and Orchid. Base notes of Vetiver, Tobacco, Amber provide a lasting and memorable impression.",Need aromatic perfume for date night and winter,"Lime, Mint, Petitgrain, Honeysuckle, Gardenia, Orchid, Vetiver, Tobacco, Amber"
9,Hermès,Dream,Hermès Dream,Parfum,Aromatic,"Grapefruit, Rose","Violet, Honeysuckle","Vanilla, Leather, Oakmoss",wedding,energetic,"Hermès Dream is a captivating Aromatic fragrance. It opens with vibrant notes of Grapefruit and Rose. The heart reveals Violet and Honeysuckle. Base notes of Vanilla, Leather, Oakmoss provide a lasting and memorable impression.",What has Vanilla and works for wedding?,"Grapefruit, Rose, Violet, Honeysuckle, Vanilla, Leather, Oakmoss"
10,Hermès,Mystère,Hermès Mystère,Intense,Chypre,"Peach, Mint, Blackcurrant, Bergamot","Orchid, Ylang-ylang, Cardamom","Labdanum, Praline, Benzoin",beach day,elegant,"Hermès Mystère is a captivating Chypre fragrance. It opens with vibrant notes of Peach, Mint, Blackcurrant and Bergamot. The heart reveals Orchid, Ylang-ylang and Cardamom. Base notes of Labdanum, Praline, Benzoin provide a lasting and memorable impression.","Something perfect for beach day, makes me feel elegant","Peach, Mint, Blackcurrant, Bergamot, Orchid, Ylang-ylang, Cardamom, Labdanum, Praline, Benzoin"
11,Yves Saint Laurent,Elixir,Yves Saint Laurent Elixir,Eau de Parfum,Oriental,"Blackcurrant, Mint, Apple, Bergamot","Rose, Jasmine, Orchid","Cedar, Labdanum, White Musk","romantic dinner, night out","bold, warm","Yves Saint Laurent Elixir is a captivating Oriental fragrance. It opens with vibrant notes of Blackcurrant, Mint, Apple and Bergamot. The heart reveals Rose, Jasmine and Orchid. Base notes of Cedar, Labdanum, White Musk provide a lasting and memorable impression.","I love Rose and Blackcurrant, what should I get?","Blackcurrant, Mint, Apple, Bergamot, Rose, Jasmine, Orchid, Cedar, Labdanum, White Musk"
12,Versace,Bleu,Versace Bleu,Eau de Parfum,Aquatic,"Petitgrain, Neroli","Clove, Nutmeg, Geranium","Tobacco, Sandalwood","spring, formal event",bold,"Versace Bleu is a captivating Aquatic fragrance. It opens with vibrant notes of Petitgrain and Neroli. The heart reveals Clove, Nutmeg and Geranium. Base notes of Tobacco, Sandalwood provide a lasting and memorable impression.","Something perfect for spring, makes me feel bold","Petitgrain, Neroli, Clove, Nutmeg, Geranium, Tobacco, Sandalwood"
13,Calvin Klein,Intense,Calvin Klein Intense,Parfum,Aromatic,"Mint, Lavender","Violet, Iris","Tobacco, Labdanum",party,dreamy,"Calvin Klein Intense is a captivating Aromatic fragrance. It opens with vibrant notes of Mint and Lavender. The heart reveals Violet and Iris. Base notes of Tobacco, Labdanum provide a lasting and memorable impression.","Something perfect for party, makes me feel dreamy","Mint, Lavender, Violet, Iris, Tobacco, Labdanum"
14,Lancôme,Rose Elixir,Lancôme Rose Elixir,Unisex,Gourmand,"Neroli, Orange","Iris, Jasmine, Ylang-ylang","Leather, Cocoa, Cedar",summer,relaxed,"Lancôme Rose Elixir is a captivating Gourmand fragrance. It opens with vibrant notes of Neroli and Orange. The heart reveals Iris, Jasmine and Ylang-ylang. Base notes of Leather, Cocoa, Cedar provide a lasting and memorable impression.",Searching for a relaxed scent with Neroli,"Neroli, Orange, Iris, Jasmine, Ylang-ylang, Leather, Cocoa, Cedar"
15,Jo Malone,Rose Absolute,Jo Malone Rose Absolute,Elixir,Fresh,"Basil, Peach","Rose, Lavender, Cardamom","Labdanum, Cedar, Sandalwood",night out,relaxed,"Jo Malone Rose Absolute is a captivating Fresh fragrance. It opens with vibrant notes of Basil and Peach. The heart reveals Rose, Lavender and Cardamom. Base notes of Labdanum, Cedar, Sandalwood provide a lasting and memorable impression.","I love Rose and Basil, what should I get?","Basil, Peach, Rose, Lavender, Cardamom, Labdanum, Cedar, Sandalwood"
16,Viktor & Rolf,Homme,Viktor & Rolf Homme,Elixir,Chypre,"Saffron, Basil, Pink Pepper","Iris, Peony, Geranium","Patchouli, Vetiver",fall,relaxed,"Viktor & Rolf Homme is a captivating Chypre fragrance. It opens with vibrant notes of Saffron, Basil and Pink Pepper. The heart reveals Iris, Peony and Geranium. Base notes of Patchouli, Vetiver provide a lasting and memorable impression.","Need a perfume with Saffron smell, good for fall","Saffron, Basil, Pink Pepper, Iris, Peony, Geranium, Patchouli, Vetiver"
17,Viktor & Rolf,Amber Enigma,Viktor & Rolf Amber Enigma,Elixir,Aquatic,"Grapefruit, Basil, Lemon, Orange","Orchid, Freesia","Sandalwood, Praline",casual,fresh,"Viktor & Rolf Amber Enigma is a captivating Aquatic fragrance. It opens with vibrant notes of Grapefruit, Basil, Lemon and Orange. The heart reveals Orchid and Freesia. Base notes of Sandalwood, Praline provide a lasting and memorable impression.",I'm looking for something fresh for casual,"Grapefruit, Basil, Lemon, Orange, Orchid, Freesia, Sandalwood, Praline"
18,Byredo,Secret Absolute,Byredo Secret Absolute,Extreme,Aquatic,"Cardamom, Pear, Petitgrain, Bergamot","Ylang-ylang, Freesia","White Musk, Vetiver","summer, wedding",mysterious,"Byredo Secret Absolute is a captivating Aquatic fragrance. It opens with vibrant notes of Cardamom, Pear, Petitgrain and Bergamot. The heart reveals Ylang-ylang and Freesia. Base notes of White Musk, Vetiver provide a lasting and memorable impression.",I'm looking for something mysterious for summer,"Cardamom, Pear, Petitgrain, Bergamot, Ylang-ylang, Freesia, White Musk, Vetiver"
19,Lancôme,Intense Oud,Lancôme Intense Oud,Parfum,Oriental,"Petitgrain, Mint","Gardenia, Rose","Patchouli, Amber, Leather","daily wear, beach day",elegant,"Lancôme Intense Oud is a captivating Oriental fragrance. It opens with vibrant notes of Petitgrain and Mint. The heart reveals Gardenia and Rose. Base notes of Patchouli, Amber, Leather provide a lasting and memorable impression.",Looking for daily wear fragrance with Patchouli base,"Petitgrain, Mint, Gardenia, Rose, Patchouli, Amber, Leather"
20,Yves Saint Laurent,Absolute,Yves Saint Laurent Absolute,Eau de Parfum,Chypre,"Rose, Basil","Geranium, Orchid","Incense, Leather",fall,elegant,"Yves Saint Laurent Absolute is a captivating Chypre fragrance. It opens with vibrant notes of Rose and Basil. The heart reveals Geranium and Orchid. Base notes of Incense, Leather provide a lasting and memorable impression.",Searching for a elegant scent with Rose,"Rose, Basil, Geranium, Orchid, Incense, Leather"
21,Creed,Wild,Creed Wild,Intense,Citrus,"Mint, Lemon, Grapefruit","Nutmeg, Lily, Peony","Cedar, Cashmere Wood",beach day,dreamy,"Creed Wild is a captivating Citrus fragrance. It opens with vibrant notes of Mint, Lemon and Grapefruit. The heart reveals Nutmeg, Lily and Peony. Base notes of Cedar, Cashmere Wood provide a lasting and memorable impression.",Searching for a dreamy scent with Mint,"Mint, Lemon, Grapefruit, Nutmeg, Lily, Peony, Cedar, Cashmere Wood"
22,Versace,Black Homme,Versace Black Homme,Unisex,Chypre,"Grapefruit, Neroli","Geranium, Orange Blossom","Oakmoss, Oud, Cocoa","spring, romantic dinner","warm, sophisticated","Versace Black Homme is a captivating Chypre fragrance. It opens with vibrant notes of Grapefruit and Neroli. The heart reveals Geranium and Orange Blossom. Base notes of Oakmoss, Oud, Cocoa provide a lasting and memorable impression.",Looking for spring fragrance with Oakmoss base,"Grapefruit, Neroli, Geranium, Orange Blossom, Oakmoss, Oud, Cocoa"
23,Dior,Wild Dream,Dior Wild Dream,Absolu,Chypre,"Lavender, Mint, Lemon, Saffron","Iris, Nutmeg, Gardenia","Tonka Bean, Labdanum, Oakmoss","daily wear, evening","relaxed, warm","Dior Wild Dream is a captivating Chypre fragrance. It opens with vibrant notes of Lavender, Mint, Lemon and Saffron. The heart reveals Iris, Nutmeg and Gardenia. Base notes of Tonka Bean, Labdanum, Oakmoss provide a lasting and memorable impression.","Need a perfume with Lavender smell, good for daily wear","Lavender, Mint, Lemon, Saffron, Iris, Nutmeg, Gardenia, Tonka Bean, Labdanum, Oakmoss"
24,Versace,Intense,Versace Intense,Intense,Oriental,"Neroli, Peach","Freesia, Nutmeg, Lily","Labdanum, Cashmere Wood, Ambergris",fall,bold,"Versace Intense is a captivating Oriental fragrance. It opens with vibrant notes of Neroli and Peach. The heart reveals Freesia, Nutmeg and Lily. Base notes of Labdanum, Cashmere Wood, Ambergris provide a lasting and memorable impression.",Need oriental with Freesia for fall,"Neroli, Peach, Freesia, Nutmeg, Lily, Labdanum, Cashmere Wood, Ambergris"
25,Byredo,Bleu,Byredo Bleu,Elixir,Chypre,"Cardamom, Lavender, Lemon","Lavender, Cinnamon, Nutmeg","Amber, Musk",casual,"luxurious, playful","Byredo Bleu is a captivating Chypre fragrance. It opens with vibrant notes of Cardamom, Lavender and Lemon. The heart reveals Lavender, Cinnamon and Nutmeg. Base notes of Amber, Musk provide a lasting and memorable impression.","Need a perfume with Cardamom smell, good for casual","Cardamom, Lavender, Lemon, Lavender, Cinnamon, Nutmeg, Amber, Musk"
26,Creed,Musk Pure,Creed Musk Pure,Elixir,Woody,"Rose, Peach, Apple","Cardamom, Lavender","Leather, Musk, Tobacco","fall, romantic dinner","fresh, elegant","Creed Musk Pure is a captivating Woody fragrance. It opens with vibrant notes of Rose, Peach and Apple. The heart reveals Cardamom and Lavender. Base notes of Leather, Musk, Tobacco provide a lasting and memorable impression.",Need woody perfume for fall and romantic dinner,"Rose, Peach, Apple, Cardamom, Lavender, Leather, Musk, Tobacco"
27,Chanel,Enigma Intense,Chanel Enigma Intense,Pour Homme,Green,"Apple, Rose, Lemon","Iris, Lily, Honeysuckle","Cedar, Oud, White Musk",party,"bold, sophisticated","Chanel Enigma Intense is a captivating Green fragrance. It opens with vibrant notes of Apple, Rose and Lemon. The heart reveals Iris, Lily and Honeysuckle. Base notes of Cedar, Oud, White Musk provide a lasting and memorable impression.",Looking for party fragrance with Cedar base,"Apple, Rose, Lemon, Iris, Lily, Honeysuckle, Cedar, Oud, White Musk"
